Namerus;Донского Войска область;Тифлисская губерния;Орловская губерния;Самарская губерния;Нижегородская губерния;Астраханская губерния;Екатеринославская губерния;Бессарабская губерния;Плоцкая губерния;Санкт-Михельская губерния;Казанская губерния;Московская губерния;Ковенская губерния;Люблинская губерния;Варшавская губерния;Ломжинская губерния;Харьковская губерния;Саратовская губерния;Симбирская губерния;Пензенская губерния;Гродненская губерния;Волынская губерния;Могилевская губерния;Лифляндская губерния;Тульская губерния;Калужская губерния;Рязанская губерния;Петербургская губерния;Владимирская губерния;Радомская губерния;Петроковская губерния;Келецкая губерния;Калишская губерния;Сувалкская губерния;Витебская губерния;Смоленская губерния;Псковская губерния;Олонецкая губерния;Пермская губерния;Вологодская губерния;Костромская губерния;Вятская губерния;Тамбовская губерния;Воронежская губерния;Курская губерния;Терская область;Кубанская область;Ставропольская область;Черниговская губерния;Полтавская губерния;Киевская губерния;Подольская губерния;Херсонская губерния;Таврическая губерния;Кутаисская губерния;Карсская область;Эриванская губерния;Елизаветопольская губерния;Оренбургская губерния;Уфимская губерния;Самаркандская область;Ферганская область;Тургайская область;Акмолинская область;Минская губерния;Виленская губерния;Ярославская губерния;Новгородская губерния;Тверская губерния;Семипалатинская область;Семиреченская область;Томская губерния;Иркутская область;Амурская область;Ревельская губерния;Седлецкая губерния;Сахалин остров;Закаспийская область;Дагестанская область;Бакинская губерния;Черноморская губерния;Уральская область;Сырь-Дарьинская область;Забайкальская область;Архангельская губерния;Курляндская губерния;Енисейская губерния;Якутская область;Тобольская губерния;Приморская область
Nameeng;Voyska Donskogo oblast;Tiflisskaya guberniya;Orlovskaya guberniya;Samarskaya guberniya;Nizhegorodskaya guberniya;Astrakhanskaya guberniya;Ekaterinoslavskaya guberniya;Bessarabskaya guberniya;Plotskaya guberniya;Sankt-Mikhelskaya guberniya;Kazanskaya guberniya;Moskovskaya guberniya;Kovenskaya guberniya;Lyublinskaya guberniya;Varshavskaya guberniya;Lomzhinskaya guberniya;Kharkovskaya guberniya;Saratovskaya guberniya;Simbirskaya guberniya;Penzenskaya guberniya;Grodnenskaya guberniya;Volynskaya guberniya;Mogilevskaya guberniya;Liflyandskaya guberniya;Tulskaya guberniya;Kaluzhskaya guberniya;Ryazanskaya guberniya;Peterburgskaya guberniya;Vladimirskaya guberniya;Radomskaya guberniya;Petrokovskaya guberniya;Keletskaya guberniya;Kalishskaya guberniya;Suvalkskaya guberniya;Vitebskaya guberniya;Smolenskaya guberniya;Pskovskaya guberniya;Olonetskaya guberniya;Permskaya guberniya;Vologodskaya guberniya;Kostromskaya guberniya;Vyatskaya guberniya;Tambovskaya guberniya;Voronezhskaya guberniya;Kurskaya guberniya;Terskaya oblast;Kubanskaya oblast;Stravropolskaya oblast;Chernigovskaya guberniya;Poltavskaya guberniya;Kiyevskaya guberniya;Podolskaya guberniya;Khersonskaya guberniya;Tavricheskaya guberniya;Kutaisskaya guberniya;Karsskaya oblast;Erivanskaya guberniya;Elisavetpolskaya guberniya;Orenburgskaya guberniya;Ufimskaya guberniya;Samarkandskaya oblast;Ferganskaya oblast;Turgayskaya oblast;Akmolinskaya oblast;Minskaya guberniya;Vilenskaya guberniya;Yaroslavskaya guberniya;Novgorodskaya guberniya;Tverskaya guberniya;Semipalatinskaya oblast;Semirechenskaya oblast;Tomskaya guberniya;Irkutskaya oblast;Amurskaya oblast;Estlyandskaya guberniya;Sedletskaya guberniya;Sakhalin;Zakaspyskaya oblast;Dagestanskaya oblast;Bakinskaya guberniya;Chernomorskaya guberniya;Uralskaya oblast;Syr-Daryinskaya oblast;Zabaykalskaya oblast;Arkhangelskaya guberniya;Kurlyandskaya guberniya;Eniseyskaya guberniya;Yakutskaya oblast;Tobolskaya guberniya;Primorskaya oblast
Великорусский;1712898;79082;2014127;1775839;1476391;409306;364974;155774;15137;1775839;832475;2371102;72872;47912;87850;27941;440936;1846436;1038493;1220080;74143;104889;58155;68124;1412946;1126018;1790752;1729564;1510795;9581;19232;7983;7451;24460;198001;1397875;1063007;284902;2705327;1224138;1381376;2347169;2562677;1602948;1832498;271185;816734;482495;495963;72941;209427;98984;575375;404463;19273;22327;13173;14146;1126040;834135;12485;8140;30438;174292;83999;78623;1064525;1323799;1642506;65062;76839;1658041;375997;82372;20439;19613;15807;27942;13111;73632;24635;160894;31900;437540;294865;25630;473220;30480;1270173;80173
Малорусский;719655;6443;4174;119301;253;133115;1456369;379698;2350;119301;789;5506;1682;196476;15930;3832;2009411;149291;1271;1031;362526;2095579;3559;638;1106;1302;1808;7612;702;1642;2723;1088;1429;2082;420;1374;77;62;2028;101;164;95;5884;915883;527778;42036;908818;319817;1526072;2583133;2819145;2442819;1462039;611121;4008;5279;2682;861;41541;4996;1391;1698;4588;51103;10069;919;800;254;1070;3257;18611;99300;2177;21096;230;107785;2368;5151;2895;3372;9252;2959;12853;5497;51;363;21421;320;37769;33326
Белорусский;9158;247;2984;418;995;774;14052;2471;114;418;76;1292;37798;525;1343;271;10258;1371;1455;160;705045;3794;1389782;852;84;724;123;4219;232;69;133;60;39;26567;788599;100757;2321;42;266;1111;175;87;2406;3544;924;1423;12356;880;151465;1344;6389;834;22958;9726;162;250;82;2868;2247;505;30;4;2;246;1633091;891903;717;648;438;114;15;4586;209;388;230;226;168;180;38;677;659;57;81;1863;256;12283;455;7;4396;274
Польский;3316;6282;3422;1940;1257;839;12365;11696;447685;1940;1700;10960;139618;729529;1420436;448065;5910;2596;757;902;161662;184161;17526;15132;1005;1762;1743;45009;1190;681061;1011928;666772;705400;134006;50377;7314;4466;307;1980;353;703;668;1836;1778;2862;4173;2719;961;3302;3891;68791;69156;30894;10112;1938;3243;1385;616;1696;956;1531;1535;101;1142;64617;130054;1420;3128;1424;195;185;6387;3864;358;1237;510621;1636;3812;1630;1439;731;250;2825;1621;456;19688;5941;427;5745;3198
 Чешский (словакский);222;245;76;56;13;26;450;482;8;56;40;636;48;306;880;42;221;76;211;15;125;27670;50;137;28;30;41;451;29;30;4987;36;34;22;26;29;28;5;33;4;6;25;54;88;112;130;1213;75;209;156;3294;886;1351;1962;167;11;36;25;25;35;47;21;0;30;652;42;7;79;10;0;3;28;21;0;23;105;5;28;19;149;1290;5;14;10;1;24;9;4;40;11
Сербский, хорватский, словенский;69;2;7;32;6;16;92;53;1;32;19;65;8;14;126;2;9;16;9;4;1;44;0;14;1;7;0;157;0;2;43;5;6;0;5;4;0;0;45;2;2;1;0;10;9;9;26;0;6;20;54;30;390;237;13;0;1;0;32;6;0;0;0;0;8;2;1;4;19;0;9;2;1;1;0;18;0;0;2;0;0;0;0;0;4;3;3;0;0;6
Болгарский;269;8;6;13;12;16;132;103225;43;13;7;110;17;56;459;7;44;8;2;1;137;48;1;2;18;0;0;127;3;9;97;4;2;1;19;2;4;0;9;0;0;2;4;13;2;29;322;10;4;13;123;57;25685;41260;67;0;2;0;22;6;0;0;0;0;4;3;3;5;6;0;0;3;5;0;2;20;11;32;4;0;0;0;0;3;0;0;2;0;6;11
Литовское;146;1263;38;650;63;73;297;47;201;650;119;690;574853;46;185;148;55;82;13;15;3366;103;3600;6594;30;33;18;4286;124;7;96;25;21;304548;2235;255;89;7;62;10;36;17;80;50;20;789;238;150;66;29;112;42;478;213;450;892;384;116;54;41;17;0;4;58;613;279720;119;767;40;1;2;804;98;1;86;45;125;935;520;272;47;3;22;76;81;16531;212;17;335;209
Жмудское;12;34;1;4;0;0;28;100;10;4;10;8;444921;32;35;19;3;0;1;4;204;28;19;100;0;1;1;103;2;37;9;36;10;54;67;15;5;3;3;14;1;1;2;5;7;0;0;0;16;17;56;28;62;5;16;0;2;0;2;0;0;0;0;10;88;157;3;2;3;0;0;35;4;0;3;3;2;1;3;0;0;0;0;3;4;1517;16;0;11;4
